ticker,base,quote,exchange,price,ask,bid,volume
eth-btc,eth,btc,binance,0.025752,0.025753,0.025752,226093.016
ltc-btc,ltc,btc,binance,0.00593,0.005932,0.00593,144282.43
bnb-btc,bnb,btc,binance,0.0021429,0.0021432,0.0021429,664411.3
neo-btc,neo,btc,binance,0.001128,0.001128,0.001126,286918.25
qtum-eth,qtum,eth,binance,0.007773,0.007777,0.007772,79220.77
eos-eth,eos,eth,binance,0.014006,0.014006,0.014,368232.06
snt-eth,snt,eth,binance,9.771e-05,9.801e-05,9.747e-05,3648754.0
bnt-eth,bnt,eth,binance,0.001127,0.001138,0.001126,382220.94
bcc-btc,bcc,btc,binance,0.0,0.0,0.0,0.0
gas-btc,gas,btc,binance,0.000161,0.0001612,0.000161,621559.41
bnb-eth,bnb,eth,binance,0.083174,0.083309,0.083173,60941.63
btc-usd,btc,usd,binance,7565.0,7565.0,7564.99,45367.688379
eth-usd,eth,usd,binance,194.82,194.83,194.82,810780.54989
hsr-btc,hsr,btc,binance,0.0,0.0,0.0,0.0
oax-eth,oax,eth,binance,0.0001871,0.0001901,0.0001875,239558.0
dnt-eth,dnt,eth,binance,0.0,0.0,0.0,0.0
mco-eth,mco,eth,binance,0.026301,0.026479,0.026275,6368.53
icn-eth,icn,eth,binance,0.0,0.0,0.0,0.0
mco-btc,mco,btc,binance,0.0006777,0.0006794,0.0006777,34099.23
wtc-btc,wtc,btc,binance,3.95e-05,3.95e-05,3.93e-05,2125224.15
wtc-eth,wtc,eth,binance,0.00153,0.001536,0.001527,37925.84
lrc-btc,lrc,btc,binance,4.22e-06,4.22e-06,4.21e-06,12643162.0
lrc-eth,lrc,eth,binance,0.0001644,0.00016533,0.00016377,1335235.0
qtum-btc,qtum,btc,binance,0.0002002,0.0002002,0.0002001,732444.31
yoyo-btc,yoyo,btc,binance,1.17e-06,1.18e-06,1.17e-06,7900719.0
omg-btc,omg,btc,binance,8.29e-05,8.31e-05,8.28e-05,387008.28
omg-eth,omg,eth,binance,0.003221,0.003233,0.003211,65920.99
zrx-btc,zrx,btc,binance,2.474e-05,2.475e-05,2.471e-05,4833472.0
zrx-eth,zrx,eth,binance,0.00095836,0.00096202,0.00095816,293411.0
strat-btc,strat,btc,binance,4.281e-05,4.281e-05,4.266e-05,788306.0
strat-eth,strat,eth,binance,0.001669,0.001669,0.001653,86041.06
sngls-btc,sngls,btc,binance,8.9e-07,8.9e-07,8.8e-07,12697006.0
sngls-eth,sngls,eth,binance,0.0,0.0,0.0,0.0
bqx-btc,bqx,btc,binance,3.85e-06,3.86e-06,3.85e-06,6229361.0
bqx-eth,bqx,eth,binance,0.0001504,0.0001504,0.0001492,139565.0
knc-btc,knc,btc,binance,7.561e-05,7.56e-05,7.543e-05,4644580.0
knc-eth,knc,eth,binance,0.0029348,0.002937,0.0029249,628708.0
fun-btc,fun,btc,binance,2.5e-07,2.6e-07,2.5e-07,20184711.0
fun-eth,fun,eth,binance,9.73e-06,9.75e-06,9.67e-06,6683934.0
snm-btc,snm,btc,binance,9.3e-07,9.4e-07,9.3e-07,48645815.0
snm-eth,snm,eth,binance,0.0,0.0,0.0,0.0
neo-eth,neo,eth,binance,0.043678,0.043865,0.04373,15117.29
iota-btc,iota,btc,binance,2.27e-05,2.271e-05,2.268e-05,4454036.0
iota-eth,iota,eth,binance,0.0008793,0.00088355,0.00087929,365532.0
link-btc,link,btc,binance,0.00050415,0.00050434,0.00050409,1348487.0
link-eth,link,eth,binance,0.01961066,0.01961029,0.01956387,187444.0
xvg-btc,xvg,btc,binance,3.8e-07,3.9e-07,3.8e-07,44731635.0
xvg-eth,xvg,eth,binance,1.509e-05,1.509e-05,1.497e-05,9416696.0
salt-btc,salt,btc,binance,0.0,0.0,0.0,0.0
salt-eth,salt,eth,binance,0.0,0.0,0.0,0.0
mda-btc,mda,btc,binance,4.636e-05,4.636e-05,4.631e-05,191792.0
mda-eth,mda,eth,binance,0.0018144,0.0018142,0.0017919,22115.0
mtl-btc,mtl,btc,binance,4.045e-05,4.044e-05,4.032e-05,3058660.0
mtl-eth,mtl,eth,binance,0.001565,0.001569,0.001563,153904.44
sub-btc,sub,btc,binance,0.0,0.0,0.0,0.0
sub-eth,sub,eth,binance,0.0,0.0,0.0,0.0
eos-btc,eos,btc,binance,0.0003607,0.0003607,0.0003605,1277919.67
snt-btc,snt,btc,binance,2.53e-06,2.53e-06,2.52e-06,37455085.0
etc-eth,etc,eth,binance,0.029265,0.029328,0.029251,13380.55
etc-btc,etc,btc,binance,0.0007542,0.0007544,0.0007541,325775.2
mth-btc,mth,btc,binance,7.5e-07,7.6e-07,7.5e-07,6203813.0
mth-eth,mth,eth,binance,0.0,0.0,0.0,0.0
eng-btc,eng,btc,binance,2.078e-05,2.078e-05,2.07e-05,1770089.0
eng-eth,eng,eth,binance,0.0008084,0.0008084,0.0008023,228189.0
dnt-btc,dnt,btc,binance,5.6e-07,5.7e-07,5.6e-07,6882779.0
zec-btc,zec,btc,binance,0.005996,0.006001,0.005993,40452.714
zec-eth,zec,eth,binance,0.23341,0.23341,0.23261,2503.434
bnt-btc,bnt,btc,binance,2.91e-05,2.91e-05,2.904e-05,2365590.0
ast-btc,ast,btc,binance,1.96e-06,1.97e-06,1.96e-06,1473773.0
ast-eth,ast,eth,binance,7.7e-05,7.72e-05,7.59e-05,102107.0
dash-btc,dash,btc,binance,0.011308,0.011311,0.011308,18725.729
dash-eth,dash,eth,binance,0.43824,0.43975,0.43873,826.455
oax-btc,oax,btc,binance,4.87e-06,4.87e-06,4.86e-06,3395240.0
icn-btc,icn,btc,binance,0.0,0.0,0.0,0.0
btg-btc,btg,btc,binance,0.00124,0.00124,0.001236,22642.85
btg-eth,btg,eth,binance,0.0,0.0,0.0,0.0
evx-btc,evx,btc,binance,2.155e-05,2.156e-05,2.149e-05,1299937.0
evx-eth,evx,eth,binance,0.0008384,0.00084,0.0008327,196228.0
req-btc,req,btc,binance,1.26e-06,1.27e-06,1.26e-06,2475109.0
req-eth,req,eth,binance,4.995e-05,0.0,0.0,246546.0
vib-btc,vib,btc,binance,1.64e-06,1.65e-06,1.64e-06,26363864.0
vib-eth,vib,eth,binance,6.425e-05,6.435e-05,6.364e-05,4309386.0
hsr-eth,hsr,eth,binance,0.0,0.0,0.0,0.0
trx-btc,trx,btc,binance,1.86e-06,1.87e-06,1.86e-06,336929873.0
trx-eth,trx,eth,binance,7.242e-05,7.242e-05,7.22e-05,55777796.0
powr-btc,powr,btc,binance,8.25e-06,8.25e-06,8.22e-06,2542026.0
powr-eth,powr,eth,binance,0.0003173,0.00032114,0.00031849,156183.0
ark-btc,ark,btc,binance,2.356e-05,2.36e-05,2.356e-05,675935.0
ark-eth,ark,eth,binance,0.000913,0.000919,0.000911,87014.19
yoyo-eth,yoyo,eth,binance,0.0,0.0,0.0,0.0
xrp-btc,xrp,btc,binance,2.582e-05,2.583e-05,2.581e-05,27624490.0
xrp-eth,xrp,eth,binance,0.00100261,0.00100415,0.00100172,2443860.0
mod-btc,mod,btc,binance,0.0,0.0,0.0,0.0
mod-eth,mod,eth,binance,0.0,0.0,0.0,0.0
enj-btc,enj,btc,binance,1.975e-05,1.978e-05,1.975e-05,41267988.0
enj-eth,enj,eth,binance,0.00076632,0.00076965,0.00076593,2762163.0
storj-btc,storj,btc,binance,1.33e-05,1.333e-05,1.33e-05,1778201.0
storj-eth,storj,eth,binance,0.0005175,0.000523,0.0005164,35144.0
bnb-usd,bnb,usd,binance,16.2044,16.21,16.2031,2467171.04
ven-bnb,ven,bnb,binance,0.0,0.0,0.0,0.0
yoyo-bnb,yoyo,bnb,binance,0.0,0.0,0.0,0.0
powr-bnb,powr,bnb,binance,0.00383,0.00389,0.00382,129915.3
ven-btc,ven,btc,binance,0.0,0.0,0.0,0.0
ven-eth,ven,eth,binance,0.0,0.0,0.0,0.0
kmd-btc,kmd,btc,binance,7.39e-05,7.39e-05,7.37e-05,696323.38
kmd-eth,kmd,eth,binance,0.002863,0.002884,0.002856,47390.89
nuls-bnb,nuls,bnb,binance,0.0,0.0,0.0,0.0
rcn-btc,rcn,btc,binance,9.4e-06,9.44e-06,9.41e-06,2520709.0
rcn-eth,rcn,eth,binance,0.00037604,0.0,0.0,59285.0
rcn-bnb,rcn,bnb,binance,0.0,0.0,0.0,0.0
nuls-btc,nuls,btc,binance,2.808e-05,2.81e-05,2.798e-05,1456571.0
nuls-eth,nuls,eth,binance,0.00109275,0.00110026,0.0010861,112392.0
rdn-btc,rdn,btc,binance,1.361e-05,1.362e-05,1.353e-05,408128.0
rdn-eth,rdn,eth,binance,0.0005282,0.0005316,0.0005271,22405.0
rdn-bnb,rdn,bnb,binance,0.0,0.0,0.0,0.0
xmr-btc,xmr,btc,binance,0.008117,0.008122,0.008115,52121.331
xmr-eth,xmr,eth,binance,0.31575,0.3157,0.31463,3159.045
dlt-bnb,dlt,bnb,binance,0.0,0.0,0.0,0.0
wtc-bnb,wtc,bnb,binance,0.01838,0.01844,0.01835,58117.0
dlt-btc,dlt,btc,binance,4.28e-06,4.28e-06,4.25e-06,3103565.0
dlt-eth,dlt,eth,binance,0.00016807,0.0,0.0,96595.0
amb-btc,amb,btc,binance,1.2e-06,1.2e-06,1.19e-06,9717497.0
amb-eth,amb,eth,binance,4.66e-05,4.678e-05,4.604e-05,157857.0
amb-bnb,amb,bnb,binance,0.0,0.0,0.0,0.0
bcc-eth,bcc,eth,binance,0.0,0.0,0.0,0.0
bcc-usd,bcc,usd,binance,0.0,0.0,0.0,0.0
bcc-bnb,bcc,bnb,binance,0.0,0.0,0.0,0.0
bat-btc,bat,btc,binance,2.455e-05,2.459e-05,2.455e-05,12497205.0
bat-eth,bat,eth,binance,0.00095381,0.00095642,0.00095302,671804.0
bat-bnb,bat,bnb,binance,0.01149,0.01153,0.01145,255173.7
bcpt-btc,bcpt,btc,binance,2.17e-06,2.17e-06,2.16e-06,3808408.0
bcpt-eth,bcpt,eth,binance,8.496e-05,8.473e-05,8.363e-05,257073.0
bcpt-bnb,bcpt,bnb,binance,0.0,0.0,0.0,0.0
arn-btc,arn,btc,binance,1.366e-05,1.374e-05,1.372e-05,672405.0
arn-eth,arn,eth,binance,0.00053519,0.00053711,0.0005299,209501.0
gvt-btc,gvt,btc,binance,0.0001039,0.0001041,0.0001039,117426.49
gvt-eth,gvt,eth,binance,0.00402,0.004084,0.004025,12361.93
cdt-btc,cdt,btc,binance,5.3e-07,5.4e-07,5.3e-07,22290269.0
cdt-eth,cdt,eth,binance,2.078e-05,2.079e-05,2.078e-05,1621739.0
gxs-btc,gxs,btc,binance,5.404e-05,5.428e-05,5.401e-05,1075629.0
gxs-eth,gxs,eth,binance,0.002099,0.002132,0.002099,14552.92
neo-usd,neo,usd,binance,8.53,8.537,8.531,706012.36
neo-bnb,neo,bnb,binance,0.5265,0.5287,0.5265,5733.85
poe-btc,poe,btc,binance,1.4e-07,1.4e-07,1.3e-07,103387954.0
poe-eth,poe,eth,binance,0.0,0.0,0.0,0.0
qsp-btc,qsp,btc,binance,1.1e-06,1.11e-06,1.1e-06,21674695.0
qsp-eth,qsp,eth,binance,4.284e-05,4.287e-05,4.264e-05,17812913.0
qsp-bnb,qsp,bnb,binance,0.0,0.0,0.0,0.0
bts-btc,bts,btc,binance,2.33e-06,2.34e-06,2.32e-06,2175089.0
bts-eth,bts,eth,binance,9.112e-05,9.112e-05,9.023e-05,316264.0
bts-bnb,bts,bnb,binance,0.0,0.0,0.0,0.0
xzc-btc,xzc,btc,binance,0.000534,0.0005339,0.0005336,56936.26
xzc-eth,xzc,eth,binance,0.020687,0.020857,0.020715,1674.58
xzc-bnb,xzc,bnb,binance,0.2493,0.2493,0.2486,2621.85
lsk-btc,lsk,btc,binance,0.0001394,0.0001397,0.0001394,232071.02
lsk-eth,lsk,eth,binance,0.005432,0.005447,0.005403,20054.01
lsk-bnb,lsk,bnb,binance,0.06494,0.0,0.0,1300.0
tnt-btc,tnt,btc,binance,6.47e-06,6.5e-06,6.48e-06,3704345.0
tnt-eth,tnt,eth,binance,0.00025101,0.00025378,0.00025064,426857.0
fuel-btc,fuel,btc,binance,2.4e-07,2.5e-07,2.4e-07,13237348.0
fuel-eth,fuel,eth,binance,0.0,0.0,0.0,0.0
mana-btc,mana,btc,binance,3.9e-06,3.91e-06,3.9e-06,4904499.0
mana-eth,mana,eth,binance,0.00015182,0.0001518,0.00015116,873561.0
bcd-btc,bcd,btc,binance,7.083e-05,7.11e-05,7.084e-05,184359.0
bcd-eth,bcd,eth,binance,0.00276,0.00276,0.00275,31118.722
dgd-btc,dgd,btc,binance,0.0,0.0,0.0,0.0
dgd-eth,dgd,eth,binance,0.0,0.0,0.0,0.0
iota-bnb,iota,bnb,binance,0.01061,0.01061,0.01058,123931.7
adx-btc,adx,btc,binance,8.96e-06,8.96e-06,8.94e-06,21510040.0
adx-eth,adx,eth,binance,0.0003456,0.0003506,0.0003459,848367.0
adx-bnb,adx,bnb,binance,0.0,0.0,0.0,0.0
ada-btc,ada,btc,binance,5.68e-06,5.69e-06,5.68e-06,118000764.0
ada-eth,ada,eth,binance,0.00022101,0.00022129,0.00022077,9338874.0
ppt-btc,ppt,btc,binance,3.297e-05,3.317e-05,3.302e-05,402297.0
ppt-eth,ppt,eth,binance,0.001279,0.0013,0.00128,72867.82
cmt-btc,cmt,btc,binance,1.07e-06,1.07e-06,1.06e-06,5087265.0
cmt-eth,cmt,eth,binance,4.116e-05,4.166e-05,4.118e-05,2632723.0
cmt-bnb,cmt,bnb,binance,0.0,0.0,0.0,0.0
xlm-btc,xlm,btc,binance,8.26e-06,8.27e-06,8.26e-06,37752831.0
xlm-eth,xlm,eth,binance,0.00032093,0.00032121,0.00032033,2136957.0
xlm-bnb,xlm,bnb,binance,0.003855,0.003863,0.003848,625668.0
cnd-btc,cnd,btc,binance,5e-07,5.1e-07,5e-07,11746282.0
cnd-eth,cnd,eth,binance,0.0,0.0,0.0,0.0
cnd-bnb,cnd,bnb,binance,0.0,0.0,0.0,0.0
lend-btc,lend,btc,binance,5.05e-06,5.06e-06,5.05e-06,35870908.0
lend-eth,lend,eth,binance,0.0001966,0.00019748,0.00019569,11347333.0
wabi-btc,wabi,btc,binance,1.11e-05,1.11e-05,1.108e-05,3428311.0
wabi-eth,wabi,eth,binance,0.00040308,0.0,0.0,14322.0
wabi-bnb,wabi,bnb,binance,0.005175,0.005184,0.00517,695692.0
ltc-eth,ltc,eth,binance,0.23042,0.23052,0.23012,4759.177
ltc-usd,ltc,usd,binance,44.85,44.87,44.86,562204.1733
ltc-bnb,ltc,bnb,binance,2.765,2.77,2.766,2806.169
tnb-btc,tnb,btc,binance,1.5e-07,1.6e-07,1.5e-07,43130111.0
tnb-eth,tnb,eth,binance,0.0,0.0,0.0,0.0
waves-btc,waves,btc,binance,0.0001349,0.0001351,0.0001349,762590.7
waves-eth,waves,eth,binance,0.005239,0.005254,0.005232,38208.2
waves-bnb,waves,bnb,binance,0.0632,0.0632,0.06277,7896.2
gto-btc,gto,btc,binance,6.9e-07,7e-07,6.9e-07,8615486.0
gto-eth,gto,eth,binance,2.676e-05,2.697e-05,2.673e-05,650472.0
gto-bnb,gto,bnb,binance,0.00032,0.000324,0.000322,423093.0
icx-btc,icx,btc,binance,3.757e-05,3.757e-05,3.752e-05,11080048.0
icx-eth,icx,eth,binance,0.001465,0.00146,0.001456,598883.03
icx-bnb,icx,bnb,binance,0.01742,0.01756,0.01749,208765.9
ost-btc,ost,btc,binance,9e-07,9.1e-07,9e-07,24908008.0
ost-eth,ost,eth,binance,3.517e-05,3.517e-05,3.487e-05,17357788.0
ost-bnb,ost,bnb,binance,0.0,0.0,0.0,0.0
elf-btc,elf,btc,binance,8.86e-06,8.87e-06,8.83e-06,4131767.0
elf-eth,elf,eth,binance,0.00034431,0.00034431,0.00034241,453732.0
aion-btc,aion,btc,binance,1.139e-05,1.139e-05,1.134e-05,89249657.0
aion-eth,aion,eth,binance,0.000441,0.000445,0.00044,5152129.91
aion-bnb,aion,bnb,binance,0.005309,0.005346,0.005289,1840576.0
nebl-btc,nebl,btc,binance,5.644e-05,5.667e-05,5.644e-05,298283.0
nebl-eth,nebl,eth,binance,0.002196,0.002201,0.00219,69540.75
nebl-bnb,nebl,bnb,binance,0.02641,0.02655,0.02627,66490.2
brd-btc,brd,btc,binance,1.607e-05,1.607e-05,1.603e-05,737890.0
brd-eth,brd,eth,binance,0.0006279,0.0006318,0.0006213,33483.0
brd-bnb,brd,bnb,binance,0.00747,0.00751,0.00748,139813.6
mco-bnb,mco,bnb,binance,0.0,0.0,0.0,0.0
edo-btc,edo,btc,binance,1.669e-05,1.669e-05,1.668e-05,724856.0
edo-eth,edo,eth,binance,0.000657,0.000652,0.000646,176196.42
wings-btc,wings,btc,binance,0.0,0.0,0.0,0.0
wings-eth,wings,eth,binance,0.0,0.0,0.0,0.0
nav-btc,nav,btc,binance,1.166e-05,1.169e-05,1.168e-05,3776585.0
nav-eth,nav,eth,binance,0.0,0.0,0.0,0.0
nav-bnb,nav,bnb,binance,0.0,0.0,0.0,0.0
lun-btc,lun,btc,binance,9.06e-05,9.06e-05,9.05e-05,45545.53
lun-eth,lun,eth,binance,0.0,0.0,0.0,0.0
trig-btc,trig,btc,binance,0.0,0.0,0.0,0.0
trig-eth,trig,eth,binance,0.0,0.0,0.0,0.0
trig-bnb,trig,bnb,binance,0.0,0.0,0.0,0.0
appc-btc,appc,btc,binance,3.86e-06,3.87e-06,3.86e-06,1419368.0
appc-eth,appc,eth,binance,0.0001495,0.0001506,0.0001495,101147.0
appc-bnb,appc,bnb,binance,0.0,0.0,0.0,0.0
vibe-btc,vibe,btc,binance,1.13e-06,1.15e-06,1.14e-06,2908933.0
vibe-eth,vibe,eth,binance,0.0,0.0,0.0,0.0
rlc-btc,rlc,btc,binance,4.495e-05,4.495e-05,4.478e-05,738862.0
rlc-eth,rlc,eth,binance,0.001742,0.001747,0.001739,142815.54
rlc-bnb,rlc,bnb,binance,0.02092,0.02108,0.02089,70437.8
ins-btc,ins,btc,binance,1.516e-05,1.518e-05,1.513e-05,1199937.0
ins-eth,ins,eth,binance,0.00059,0.00059,0.000586,65700.65
pivx-btc,pivx,btc,binance,3.589e-05,3.589e-05,3.585e-05,315925.0
pivx-eth,pivx,eth,binance,0.001396,0.001396,0.001386,39226.35
pivx-bnb,pivx,bnb,binance,0.0166,0.0,0.0,2316.2
iost-btc,iost,btc,binance,4.8e-07,4.8e-07,4.7e-07,530987577.0
iost-eth,iost,eth,binance,1.844e-05,1.844e-05,1.843e-05,31371860.0
chat-btc,chat,btc,binance,0.0,0.0,0.0,0.0
chat-eth,chat,eth,binance,0.0,0.0,0.0,0.0
steem-btc,steem,btc,binance,2.164e-05,2.17e-05,2.164e-05,5373110.0
steem-eth,steem,eth,binance,0.000841,0.000846,0.00084,416313.28
steem-bnb,steem,bnb,binance,0.01009,0.01015,0.01009,341740.0
nano-btc,nano,btc,binance,7.95e-05,7.95e-05,7.94e-05,392224.87
nano-eth,nano,eth,binance,0.003089,0.003107,0.003083,22024.35
nano-bnb,nano,bnb,binance,0.0372,0.0372,0.03698,15366.3
via-btc,via,btc,binance,1.682e-05,1.685e-05,1.682e-05,209483.0
via-eth,via,eth,binance,0.0,0.0,0.0,0.0
via-bnb,via,bnb,binance,0.0,0.0,0.0,0.0
blz-btc,blz,btc,binance,2.11e-06,2.12e-06,2.11e-06,4073609.0
blz-eth,blz,eth,binance,8.187e-05,8.23e-05,8.169e-05,273552.0
blz-bnb,blz,bnb,binance,0.000987,0.000985,0.000981,453686.0
ae-btc,ae,btc,binance,1.377e-05,1.377e-05,1.375e-05,1173480.0
ae-eth,ae,eth,binance,0.000533,0.000536,0.000534,512095.45
ae-bnb,ae,bnb,binance,0.0,0.0,0.0,0.0
rpx-btc,rpx,btc,binance,0.0,0.0,0.0,0.0
rpx-eth,rpx,eth,binance,0.0,0.0,0.0,0.0
rpx-bnb,rpx,bnb,binance,0.0,0.0,0.0,0.0
ncash-btc,ncash,btc,binance,0.0,0.0,0.0,0.0
ncash-eth,ncash,eth,binance,1e-06,1.02e-06,1e-06,85735369.0
ncash-bnb,ncash,bnb,binance,0.0,0.0,0.0,0.0
poa-btc,poa,btc,binance,1.23e-06,1.23e-06,1.22e-06,10122687.0
poa-eth,poa,eth,binance,4.891e-05,0.0,0.0,24659.0
poa-bnb,poa,bnb,binance,0.0,0.0,0.0,0.0
zil-btc,zil,btc,binance,6.3e-07,6.3e-07,6.2e-07,119252452.0
zil-eth,zil,eth,binance,2.435e-05,2.436e-05,2.426e-05,31794895.0
zil-bnb,zil,bnb,binance,0.0002917,0.0002924,0.0002915,10261954.0
ont-btc,ont,btc,binance,6.25e-05,6.26e-05,6.25e-05,3896464.12
ont-eth,ont,eth,binance,0.002439,0.002434,0.002427,76818.96
ont-bnb,ont,bnb,binance,0.02919,0.02928,0.02917,56249.9
storm-btc,storm,btc,binance,1.5e-07,1.5e-07,1.4e-07,22044481.0
storm-eth,storm,eth,binance,5.55e-06,5.55e-06,5.52e-06,8590841.0
storm-bnb,storm,bnb,binance,6.55e-05,0.0,0.0,267421.0
qtum-bnb,qtum,bnb,binance,0.09358,0.09356,0.09303,4933.3
qtum-usd,qtum,usd,binance,1.513,1.515,1.514,1601247.07
xem-btc,xem,btc,binance,5.12e-06,5.14e-06,5.12e-06,11308504.0
xem-eth,xem,eth,binance,0.00020032,0.00020108,0.00019836,235566.0
xem-bnb,xem,bnb,binance,0.002402,0.002409,0.002383,64974.0
wan-btc,wan,btc,binance,2.15e-05,2.152e-05,2.149e-05,7679206.0
wan-eth,wan,eth,binance,0.000832,0.000836,0.000831,455439.09
wan-bnb,wan,bnb,binance,0.01002,0.01006,0.00998,140945.2
wpr-btc,wpr,btc,binance,7.3e-07,7.3e-07,7.2e-07,9621735.0
wpr-eth,wpr,eth,binance,0.0,0.0,0.0,0.0
qlc-btc,qlc,btc,binance,1.32e-06,1.33e-06,1.32e-06,97230244.0
qlc-eth,qlc,eth,binance,5.148e-05,5.148e-05,5.117e-05,906738.0
sys-btc,sys,btc,binance,2.71e-06,2.71e-06,2.7e-06,990692.0
sys-eth,sys,eth,binance,0.00010514,0.0001058,0.00010453,50119.0
sys-bnb,sys,bnb,binance,0.0,0.0,0.0,0.0
qlc-bnb,qlc,bnb,binance,0.0,0.0,0.0,0.0
grs-btc,grs,btc,binance,2.235e-05,2.247e-05,2.236e-05,957987.0
grs-eth,grs,eth,binance,0.00087302,0.00087302,0.00086217,102665.0
ada-usd,ada,usd,binance,0.04302,0.04304,0.04302,299137308.8
ada-bnb,ada,bnb,binance,0.002658,0.002658,0.002654,3193131.0
cloak-btc,cloak,btc,binance,0.0,0.0,0.0,0.0
cloak-eth,cloak,eth,binance,0.0,0.0,0.0,0.0
